State,Crop,District,Year,Season,Area,Production,Yield,SO2,NO2,RSPM,SPM
Chhattisgarh,Arhar/Tur,Bilaspur,2013,Kharif,2308,1474,0.64,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Bajra,Bilaspur,2013,Kharif,14,7,0.5,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Barley,Bilaspur,2013,Rabi,3,2,0.67,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Coriander,Bilaspur,2013,Whole Year,243,66,0.27,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Dry chillies,Bilaspur,2013,Whole Year,405,369,0.91,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Garlic,Bilaspur,2013,Whole Year,56,196,3.5,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Ginger,Bilaspur,2013,Whole Year,59,77,1.31,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Gram,Bilaspur,2013,Rabi,2578,3059,1.19,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Groundnut,Bilaspur,2013,Kharif,1007,1284,1.28,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Horse-gram,Bilaspur,2013,Kharif,744,250,0.34,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Jowar,Bilaspur,2013,Kharif,356,250,0.7,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Jute,Bilaspur,2013,Kharif,78,0,0,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Khesari,Bilaspur,2013,Rabi,33253,21528,0.65,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Linseed,Bilaspur,2013,Rabi,1746,745,0.43,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Maize,Bilaspur,2013,Kharif,3013,5357,1.78,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Masoor,Bilaspur,2013,Rabi,380,123,0.32,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Moong(Green Gram),Bilaspur,2013,Kharif,81,21,0.26,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Moong(Green Gram),Bilaspur,2013,Rabi,31,7,0.23,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Niger seed,Bilaspur,2013,Kharif,328,90,0.27,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Onion,Bilaspur,2013,Whole Year,257,1024,3.98,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Other  Rabi pulses,Bilaspur,2013,Rabi,296,43,0.15,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Other Kharif pulses,Bilaspur,2013,Kharif,257,93,0.36,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Other Kharif pulses,Bilaspur,2013,Rabi,730,273,0.37,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Potato,Bilaspur,2013,Kharif,14,99,7.07,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Potato,Bilaspur,2013,Rabi,340,2479,7.29,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Jute,Bilaspur,2013,Rabi,1804,793,0.44,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Rice,Bilaspur,2013,Kharif,219766,436557,1.99,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Safflower,Bilaspur,2013,Rabi,22,8,0.36,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Sannhamp,Bilaspur,2013,Whole Year,150,51,0.34,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Sesamum,Bilaspur,2013,Kharif,648,183,0.28,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Small millets,Bilaspur,2013,Kharif,1969,630,0.32,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Soyabean,Bilaspur,2013,Kharif,205,311,1.52,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Sugarcane,Bilaspur,2013,Whole Year,6,19,3.17,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Sunflower,Bilaspur,2013,Kharif,12,5,0.42,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Sweet potato,Bilaspur,2013,Whole Year,181,1177,6.5,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Urad,Bilaspur,2013,Kharif,1542,387,0.25,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Urad,Bilaspur,2013,Rabi,92,22,0.24,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Wheat,Bilaspur,2013,Rabi,8231,12401,1.51,5.291666667,21.47395833,119.71875,389.201373
Chhattisgarh,Arhar/Tur,Bilaspur,2014,Kharif,2188,1406,0.64,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Bajra,Bilaspur,2014,Whole Year,14,5,0.36,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Barley,Bilaspur,2014,Rabi,3,3,1,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Coriander,Bilaspur,2014,Whole Year,236,66,0.28,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Dry chillies,Bilaspur,2014,Whole Year,365,242,0.66,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Garlic,Bilaspur,2014,Whole Year,56,196,3.5,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Ginger,Bilaspur,2014,Whole Year,59,63,1.07,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Gram,Bilaspur,2014,Rabi,2589,2163,0.84,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Groundnut,Bilaspur,2014,Kharif,1012,1306,1.29,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Horse-gram,Bilaspur,2014,Kharif,739,261,0.35,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Jowar,Bilaspur,2014,Whole Year,350,219,0.63,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Jute,Bilaspur,2014,Kharif,74,0,0,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Khesari,Bilaspur,2014,Rabi,32992,24106,0.73,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Linseed,Bilaspur,2014,Rabi,1706,687,0.4,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Maize,Bilaspur,2014,Kharif,3016,5654,1.87,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Masoor,Bilaspur,2014,Rabi,376,126,0.34,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Moong(Green Gram),Bilaspur,2014,Kharif,72,18,0.25,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Moong(Green Gram),Bilaspur,2014,Rabi,31,7,0.23,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Niger seed,Bilaspur,2014,Kharif,320,0,0,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Onion,Bilaspur,2014,Whole Year,257,2063,8.03,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Other  Rabi pulses,Bilaspur,2014,Rabi,285,332,1.16,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Other Kharif pulses,Bilaspur,2014,Kharif,211,70,0.33,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Other Kharif pulses,Bilaspur,2014,Rabi,761,298,0.39,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Potato,Bilaspur,2014,Kharif,14,62,4.43,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Potato,Bilaspur,2014,Rabi,344,1890,5.49,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Jute,Bilaspur,2014,Rabi,1744,912,0.52,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Rice,Bilaspur,2014,Kharif,222487,459300,2.06,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Safflower,Bilaspur,2014,Rabi,23,49,2.13,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Sannhamp,Bilaspur,2014,Kharif,148,56,0.38,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Sesamum,Bilaspur,2014,Kharif,726,193,0.27,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Small millets,Bilaspur,2014,Kharif,1957,654,0.33,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Soyabean,Bilaspur,2014,Kharif,192,239,1.24,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Sugarcane,Bilaspur,2014,Whole Year,17,52,3.06,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Sunflower,Bilaspur,2014,Kharif,12,0,0,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Sweet potato,Bilaspur,2014,Whole Year,178,1157,6.5,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Urad,Bilaspur,2014,Kharif,1527,376,0.25,5.222222222,21.23809524,101.3174603,368.9496568
Chhattisgarh,Urad,Bilaspur,2014,Rabi,87,21,0.24,5.222222222,21.23809524,101.3174603,368.9496568
